REFERENCE,"PRODUCT NAME",EAN,"MAIN PICTURE",CATEGORIES,"BASE PRICE","MAX PRICE",WEIGHT,IMAGES,FEATURES,"ATTRIBUTES TO CHOOSE",DESCRIPTION
290017B,"290017B: Gearbox mount – rear bush",5902553535235,https://www.strongflex.eu/img/p/1/7/1/7/5/17175.jpg,"De Tomaso > Pantera (71-91)",13.01,13.01,0.237,https://www.strongflex.eu/img/p/1/7/1/7/4/17174.jpg,"Pcs / prod: 1|Required/car: 2",,"<p><strong>Reference:</strong> 290017B</p> <p><strong>Product name:</strong> Gearbox mount – rear bush SPORT</p> <p><strong>Fits to:</strong></p> <ul> <li>De Tomaso Pantera (71-91)</li> </ul> <p><strong>OEM</strong></p> <ul> <li>06046A</li> </ul> <p><strong>Diagrams:</strong></p> <ul> <li>S2902</li> </ul> <p class=""note-title""><strong style=""color:#ff0000;"">Notes</strong></p> <ul> <li style=""color:#ff0000;"">Bush works only with mount shown in photo S2902</li> </ul> <p>Required/car: 2</p> <p>Pcs / prod: 1</p> <p>Hardness: 80Sha</p> <p>Material: POLIURETHANE (PUR/PU)</p> <p>To every product we add grease!</p>"
290017A,"290017A: Gearbox mount – rear bush SPORT",5902553535228,https://www.strongflex.eu/img/p/1/7/1/7/1/17171.jpg,"De Tomaso > Pantera (71-91)",14.63,14.63,0.237,https://www.strongflex.eu/img/p/1/7/1/7/2/17172.jpg,"Pcs / prod: 1|Required/car: 2",,"<p><strong>Reference:</strong> 290017A</p> <p><strong>Product name:</strong> Gearbox mount – rear bush SPORT</p> <p><strong>Fits to:</strong></p> <ul> <li>De Tomaso Pantera (71-91)</li> </ul> <p><strong>OEM</strong></p> <ul> <li>06046A</li> </ul> <p><strong>Diagrams:</strong></p> <ul> <li>S2902</li> </ul> <p class=""note-title""><strong style=""color:#ff0000;"">Notes</strong></p> <ul> <li style=""color:#ff0000;"">Bush works only with mount shown in photo S2902</li> </ul> <p>Required/car: 2</p> <p>Pcs / prod: 1</p> <p>Hardness: 90Sha</p> <p>Material: POLIURETHANE (PUR/PU)</p> <p>To every product we add grease!</p>"
290016B,"290016B: Engine mount – front bush",5902553535211,https://www.strongflex.eu/img/p/1/7/1/7/0/17170.jpg,"De Tomaso > Pantera (71-91)",17.89,17.89,0.51,https://www.strongflex.eu/img/p/1/7/1/6/9/17169.jpg,"Pcs / prod: 1|Required/car: 2",,"<p><strong>Reference:</strong> 290016B</p> <p><strong>Product name:</strong> Engine mount – front bush</p> <p><strong>Fits to:</strong></p> <ul> <li>De Tomaso Pantera (71-91)</li> </ul> <p><strong>OEM</strong></p> <ul> <li>08202A</li> </ul> <p><strong>Diagrams:</strong></p> <ul> <li>S2901</li> </ul> <p class=""note-title""><strong style=""color:#ff0000;"">Notes</strong></p> <ul> <li style=""color:#ff0000;"">Bush works only with mount shown in photo S2901</li> </ul> <p>Required/car: 2</p> <p>Pcs / prod: 1</p> <p>Hardness: 80Sha</p> <p>Material: POLIURETHANE (PUR/PU)</p> <p>To every product we add grease!</p>"
290016A,"290016A: Engine mount – front bush SPORT",5902553535204,https://www.strongflex.eu/img/p/1/7/1/6/6/17166.jpg,"De Tomaso > Pantera (71-91)",20.33,20.33,0.51,https://www.strongflex.eu/img/p/1/7/1/6/7/17167.jpg,"Pcs / prod: 1|Required/car: 2",,"<p><strong>Reference:</strong> 290016A</p> <p><strong>Product name:</strong> Engine mount – front bush SPORT</p> <p><strong>Fits to:</strong></p> <ul> <li>De Tomaso Pantera (71-91)</li> </ul> <p><strong>OEM</strong></p> <ul> <li>08202A</li> </ul> <p><strong>Diagrams:</strong></p> <ul> <li>S2901</li> </ul> <p class=""note-title""><strong style=""color:#ff0000;"">Notes</strong></p> <ul> <li style=""color:#ff0000;"">Bush works only with mount shown in photo S2901</li> </ul> <p>Required/car: 2</p> <p>Pcs / prod: 1</p> <p>Hardness: 90Sha</p> <p>Material: POLIURETHANE (PUR/PU)</p> <p>To every product we add grease!</p>"
221762B,"221762B: Rear subframe bush",5902553535136,https://www.strongflex.eu/img/p/1/7/1/4/6/17146.jpg,"Audi > A6 > C5 > C5 (97-04) Quattro & Allroad|Volkswagen > Passat > Passat B5 > Passat B5 4motion (96-05)",26.83,26.83,0.681,https://www.strongflex.eu/img/p/1/7/1/4/4/17144.jpg|https://www.strongflex.eu/img/p/1/7/1/4/5/17145.jpg,"Pcs / prod: 1|Required/car: 4",,"<p><strong>Reference:</strong> 221762B</p> <p><strong>Product name:</strong> Rear subframe bush</p> <p><strong>Fits to:</strong></p> <ul> <li>Audi A6 C5 (97-04) Quattro &amp; Allroad</li> <li>Volkswagen Passat B5 4motion (96-05)</li> </ul> <p><strong>OEM</strong></p> <ul> <li>8E0505145C</li> <li>8E0505145F</li> <li>8E0505145L</li> <li>8E0505145M</li> <li>8E0505145N</li> <li>4Z7505145</li> </ul> <p><strong>Diagrams:</strong></p> <ul> <li>D2215</li> <li>S0206</li> </ul> <p>Required/car: 4</p> <p>Pcs / prod: 1</p> <p>Hardness: 80Sha</p> <p>Material: POLIURETHANE (PUR/PU)</p> <p>To every product we add grease!</p>"
221762A,"221762A: Rear subframe bush SPORT",5902553535129,https://www.strongflex.eu/img/p/1/7/1/4/0/17140.jpg,"Audi > A6 > C5 > C5 (97-04) Quattro & Allroad|Volkswagen > Passat > Passat B5 > Passat B5 4motion (96-05)",29.27,29.27,0.681,https://www.strongflex.eu/img/p/1/7/1/4/1/17141.jpg|https://www.strongflex.eu/img/p/1/7/1/4/2/17142.jpg,"Pcs / prod: 1|Required/car: 4",,"<p><strong>Reference:</strong> 221762A</p> <p><strong>Product name:</strong> Rear subframe bush SPORT</p> <p><strong>Fits to:</strong></p> <ul> <li>Audi A6 C5 (97-04) Quattro &amp; Allroad</li> <li>Volkswagen Passat B5 4motion (96-05)</li> </ul> <p><strong>OEM</strong></p> <ul> <li>8E0505145C</li> <li>8E0505145F</li> <li>8E0505145L</li> <li>8E0505145M</li> <li>8E0505145N</li> <li>4Z7505145</li> </ul> <p><strong>Diagrams:</strong></p> <ul> <li>D2215</li> <li>S0206</li> </ul> <p>Required/car: 4</p> <p>Pcs / prod: 1</p> <p>Hardness: 90Sha</p> <p>Material: POLIURETHANE (PUR/PU)</p> <p>To every product we add grease!</p>"
281211B,"281211B: Steering rack bush",5902553535105,https://www.strongflex.eu/img/p/1/7/1/3/4/17134.jpg,"Nissan > Micra / March > K11 (92-02)",8.94,8.94,0.048,https://www.strongflex.eu/img/p/1/7/1/3/3/17133.jpg,"Pcs / prod: 1|Required/car: 1",,"<p><strong>Reference:</strong> 281211B</p> <p><strong>Product name:</strong> Steering rack bush</p> <p><strong>Fits to:</strong></p> <ul> <li>Nissan Micra K11 (92-02)</li> </ul> <p><strong>OEM</strong></p> <ul> <li>48376-4F100</li> <li>48376-4F111</li> </ul> <p><strong>Diagrams</strong></p> <ul> <li>D2831</li> </ul> <p>Required/car: 1</p> <p>Pcs / prod: 1</p> <p>Hardness: 80Sha</p> <p>Material: POLIURETHANE (PUR/PU)</p> <p>To every product we add grease!</p>"
281211A,"281211A: Steering rack bush SPORT",5902553535099,https://www.strongflex.eu/img/p/1/7/1/3/1/17131.jpg,"Nissan > Micra / March > K11 (92-02)",9.76,9.76,0.048,https://www.strongflex.eu/img/p/1/7/1/3/2/17132.jpg,"Pcs / prod: 1|Required/car: 1",,"<p><strong>Reference:</strong> 281211A</p> <p><strong>Product name:</strong> Steering rack bush SPORT</p> <p><strong>Fits to:</strong></p> <ul> <li>Nissan Micra K11 (92-02)</li> </ul> <p><strong>OEM</strong></p> <ul> <li>48376-4F100</li> <li>48376-4F111</li> </ul> <p><strong>Diagrams</strong></p> <ul> <li>D2831</li> </ul> <p>Required/car: 1</p> <p>Pcs / prod: 1</p> <p>Hardness: 90Sha</p> <p>Material: POLIURETHANE (PUR/PU)</p> <p>To every product we add grease!</p>"
281210B,"281210B: Steering rack bush",5902553535082,https://www.strongflex.eu/img/p/1/7/1/3/0/17130.jpg,"Nissan > Micra / March > K11 (92-02)",8.94,8.94,0.044,https://www.strongflex.eu/img/p/1/7/1/2/9/17129.jpg,"Pcs / prod: 1|Required/car: 1",,"<p><strong>Reference:</strong> 281210B</p> <p><strong>Product name:</strong> Steering rack bush</p> <p><strong>Fits to:</strong></p> <ul> <li>Nissan Micra K11 (92-02)</li> </ul> <p><strong>OEM</strong></p> <ul> <li>48377-4F100</li> <li>48377-4F111</li> </ul> <p><strong>Diagrams</strong></p> <ul> <li>D2831</li> </ul> <p>Required/car: 1</p> <p>Pcs / prod: 1</p> <p>Hardness: 80Sha</p> <p>Material: POLIURETHANE (PUR/PU)</p> <p>To every product we add grease!</p>"
281210A,"281210A: Steering rack bush SPORT",5902553535075,https://www.strongflex.eu/img/p/1/7/1/2/8/17128.jpg,"Nissan > Micra / March > K11 (92-02)",9.76,9.76,0.044,https://www.strongflex.eu/img/p/1/7/1/2/6/17126.jpg,"Pcs / prod: 1|Required/car: 1",,"<p><strong>Reference:</strong> 281210A</p> <p><strong>Product name:</strong> Steering rack bush SPORT</p> <p><strong>Fits to:</strong></p> <ul> <li>Nissan Micra K11 (92-02)</li> </ul> <p><strong>OEM</strong></p> <ul> <li>48377-4F100</li> <li>48377-4F111</li> </ul> <p><strong>Diagrams</strong></p> <ul> <li>D2831</li> </ul> <p>Required/car: 1</p> <p>Pcs / prod: 1</p> <p>Hardness: 90Sha</p> <p>Material: POLIURETHANE (PUR/PU)</p> <p>To every product we add grease!</p>"
021990A,"021990A: Rear hub bush SPORT",5902553534764,https://www.strongflex.eu/img/p/1/7/0/7/2/17072.jpg,"Audi > A8 > D2 (94-03)",13.01,13.01,0.225,https://www.strongflex.eu/img/p/1/7/0/6/1/17061.jpg,"Pcs / prod: 1|Required/car: 2",,"<p><strong>Reference:</strong> 021990A</p> <p><strong>Product name:</strong> Rear hub bush SPORT</p> <p><strong>Fits to:</strong></p> <ul> <li>Audi A8 D2 (94-03)</li> </ul> <p><strong>OEM</strong></p> <ul> <li>4D0505171F</li> <li>4D0505171K</li> </ul> <p><strong>Diagrams</strong></p> <ul> <li>D0213</li> </ul> <p>Required/car: 2</p> <p>Pcs / prod: 1</p> <p>Hardness: 90Sha</p> <p>Material: POLIURETHANE (PUR/PU)</p> <p>To every product we add grease!</p>"
"086224B_25,4mm","086224B: Front suspension bush kit",5902553534658,https://www.strongflex.eu/img/p/1/7/0/5/8/17058.jpg,"Honda > Prelude > V > V SH 96-01",128.46,128.46,1.87,https://www.strongflex.eu/img/p/1/7/0/5/6/17056.jpg,,"Front ARB diameter: 25,4mm, 27,2mm","<p>KIT ID: <strong>086224B</strong></p> <p>Name: Front suspension bush kit</p> <p>Fits:</p> <ul> <li>Honda Prelude SH V 96-01</li> </ul> <p>Include:</p> <ul> <li><strong>2x 081644B</strong> Front radius rod bush<span style=""color:#ff0000;""><strong>*</strong></span></li> <li><strong>2x 081642B</strong> Front lower inner arm bush</li> <li><strong>2x 081641B</strong> Front lower outer arm bush</li> <li><strong>4x 081805A</strong> Front upper arm bush SPORT</li> <li><strong>2x 081713B</strong> Front anti roll bar bush</li> </ul> <p style=""color:#ff0000;""><strong>Notes:</strong></p> <p style=""color:#ff0000;"">This kit works only with SH models.</p> <p style=""color:#ff0000;"">Measure Anti Roll Bush diameter before placing order. <br />If You have different diameter anti roll bar, please contact.</p> <p style=""color:#ff0000;""><span><strong>*</strong>To install the polyurethane bushing 081644 you must burn the old rubber bush. </span><br /><span>Do not remove the outer metal sleeve, it must be reused for this bushing!</span></p> <p>Pcs / Kit: 12</p> <p>Diagrams:<br />D0821</p> <p>Hardness: 90/80ShA</p> <p>Material: POLIURETAN (PUR/PU)</p> <p>To every product we add grease!</p>"
"086224B_27,2mm","086224B: Front suspension bush kit",5902553534658,https://www.strongflex.eu/img/p/1/7/0/5/8/17058.jpg,"Honda > Prelude > V > V SH 96-01",128.46,128.46,1.87,https://www.strongflex.eu/img/p/1/7/0/5/6/17056.jpg,,"Front ARB diameter: 25,4mm, 27,2mm","<p>KIT ID: <strong>086224B</strong></p> <p>Name: Front suspension bush kit</p> <p>Fits:</p> <ul> <li>Honda Prelude SH V 96-01</li> </ul> <p>Include:</p> <ul> <li><strong>2x 081644B</strong> Front radius rod bush<span style=""color:#ff0000;""><strong>*</strong></span></li> <li><strong>2x 081642B</strong> Front lower inner arm bush</li> <li><strong>2x 081641B</strong> Front lower outer arm bush</li> <li><strong>4x 081805A</strong> Front upper arm bush SPORT</li> <li><strong>2x 081713B</strong> Front anti roll bar bush</li> </ul> <p style=""color:#ff0000;""><strong>Notes:</strong></p> <p style=""color:#ff0000;"">This kit works only with SH models.</p> <p style=""color:#ff0000;"">Measure Anti Roll Bush diameter before placing order. <br />If You have different diameter anti roll bar, please contact.</p> <p style=""color:#ff0000;""><span><strong>*</strong>To install the polyurethane bushing 081644 you must burn the old rubber bush. </span><br /><span>Do not remove the outer metal sleeve, it must be reused for this bushing!</span></p> <p>Pcs / Kit: 12</p> <p>Diagrams:<br />D0821</p> <p>Hardness: 90/80ShA</p> <p>Material: POLIURETAN (PUR/PU)</p> <p>To every product we add grease!</p>"
"086224A_25,4mm","086224A: Front suspension bush kit SPORT",5902553534641,https://www.strongflex.eu/img/p/1/7/0/5/5/17055.jpg,"Honda > Prelude > V > V SH 96-01",133.33,133.33,1.87,https://www.strongflex.eu/img/p/1/7/0/5/3/17053.jpg,,"Front ARB diameter: 25,4mm, 27,2mm","<p>KIT ID: <strong>086224A</strong></p> <p>Name: Front suspension bush kit SPORT</p> <p>Fits:</p> <ul> <li>Honda Prelude SH V 96-01</li> </ul> <p>Include:</p> <ul> <li><strong>2x 081644B</strong> Front radius rod bush<span style=""color:#ff0000;""><strong>*</strong></span></li> <li><strong>2x 081642A</strong> Front lower inner arm bush SPORT</li> <li><strong>2x 081641A</strong> Front lower outer arm bush SPORT</li> <li><strong>4x 081805A</strong> Front upper arm bush SPORT</li> <li><strong>2x 081713A</strong> Front anti roll bar bush SPORT</li> </ul> <p style=""color:#ff0000;""><strong>Notes:</strong></p> <p style=""color:#ff0000;"">This kit works only with SH models.</p> <p style=""color:#ff0000;"">Measure Anti Roll Bush diameter before placing order. <br />If You have different diameter anti roll bar, please contact.</p> <p style=""color:#ff0000;""><span><strong>*</strong>To install the polyurethane bushing 081644 you must burn the old rubber bush. </span><br /><span>Do not remove the outer metal sleeve, it must be reused for this bushing!</span></p> <p>Pcs / Kit: 12</p> <p>Diagrams:<br />D0821</p> <p>Hardness: 90/80ShA</p> <p>Material: POLIURETAN (PUR/PU)</p> <p>To every product we add grease!</p>"
"086224A_27,2mm","086224A: Front suspension bush kit SPORT",5902553534641,https://www.strongflex.eu/img/p/1/7/0/5/5/17055.jpg,"Honda > Prelude > V > V SH 96-01",133.33,133.33,1.87,https://www.strongflex.eu/img/p/1/7/0/5/3/17053.jpg,,"Front ARB diameter: 25,4mm, 27,2mm","<p>KIT ID: <strong>086224A</strong></p> <p>Name: Front suspension bush kit SPORT</p> <p>Fits:</p> <ul> <li>Honda Prelude SH V 96-01</li> </ul> <p>Include:</p> <ul> <li><strong>2x 081644B</strong> Front radius rod bush<span style=""color:#ff0000;""><strong>*</strong></span></li> <li><strong>2x 081642A</strong> Front lower inner arm bush SPORT</li> <li><strong>2x 081641A</strong> Front lower outer arm bush SPORT</li> <li><strong>4x 081805A</strong> Front upper arm bush SPORT</li> <li><strong>2x 081713A</strong> Front anti roll bar bush SPORT</li> </ul> <p style=""color:#ff0000;""><strong>Notes:</strong></p> <p style=""color:#ff0000;"">This kit works only with SH models.</p> <p style=""color:#ff0000;"">Measure Anti Roll Bush diameter before placing order. <br />If You have different diameter anti roll bar, please contact.</p> <p style=""color:#ff0000;""><span><strong>*</strong>To install the polyurethane bushing 081644 you must burn the old rubber bush. </span><br /><span>Do not remove the outer metal sleeve, it must be reused for this bushing!</span></p> <p>Pcs / Kit: 12</p> <p>Diagrams:<br />D0821</p> <p>Hardness: 90/80ShA</p> <p>Material: POLIURETAN (PUR/PU)</p> <p>To every product we add grease!</p>"
086223B,"086223B: Rear suspension polyurethane bush kit",5902553534634,https://www.strongflex.eu/img/p/1/7/0/5/1/17051.jpg,"Honda > Prelude > V > V SH 96-01|Honda > Prelude > V > V 96-01",157.72,178.86,2.404,https://www.strongflex.eu/img/p/1/7/0/4/9/17049.jpg,,"Rear ARB diameter: 23mm|081753A: +, -","<p>KIT ID: <strong>086223B</strong></p> <p>Name: Rear suspension polyurethane bush kit</p> <p>Fits:</p> <ul> <li>Honda Prelude V 96-01</li> </ul> <p>Include:</p> <ul> <li><strong>2x 081714B</strong> Rear anti roll bar bush </li> <li><strong>2x 081753A</strong> Rear toe adjuster inner bush SPORT<span style=""color:#ff0000;"">*</span></li> <li><strong>2x 081643A</strong> Rear lower inner arm bush SPORT</li> <li><strong>2x 081646B</strong> Rear lower outer arm bush </li> <li><strong>2x 081647B</strong> Rear trailing arm front bush <span style=""color:#ff0000;""><strong>*</strong></span></li> <li><strong>2x 081648B</strong> Rear trailing arm rear bush </li> <li><strong>4x 081639B</strong> Upper arm bush </li> </ul> <p style=""color:#ff0000;""><strong>Notes:</strong></p> <p style=""color:#ff0000;""><span><strong>*</strong>To install the polyurethane bushing 081647 you must burn the old rubber bush. </span><br /><span>Do not remove the outer metal sleeve, it must be reused for this bushing!</span></p> <p style=""color:#ff0000;""><strong>*</strong>Bush 081753A does not fit models with 4WS system (4 wheel steering).<br />Select the appropriate selection when adding to the cart.</p> <p>Pcs / Kit: 16</p> <p>Diagrams:<br />D0823</p> <p>Hardness: 80ShA</p> <p>Material: POLIURETAN (PUR/PU)</p> <p>To every product we add grease!</p>"
086223A,"086223A: Rear suspension polyurethane bush kit SPORT",5902553534627,https://www.strongflex.eu/img/p/1/7/0/4/8/17048.jpg,"Honda > Prelude > V > V SH 96-01|Honda > Prelude > V > V 96-01",169.11,190.24,2.404,https://www.strongflex.eu/img/p/1/7/0/4/7/17047.jpg,,"Rear ARB diameter: 23mm|081753A: +, -","<p>KIT ID: <strong>086223A</strong></p> <p>Name: Rear suspension polyurethane bush kit SPORT</p> <p>Fits:</p> <ul> <li>Honda Prelude V 96-01</li> </ul> <p>Include:</p> <ul> <li><strong>2x 081714A</strong> Rear anti roll bar bush SPORT</li> <li><strong>2x 081753A</strong> Rear toe adjuster inner bush SPORT<span style=""color:#ff0000;"">*</span></li> <li><strong>2x 081643A</strong> Rear lower inner arm bush SPORT</li> <li><strong>2x 081646A</strong> Rear lower outer arm bush SPORT</li> <li><strong>2x 081647A</strong> Rear trailing arm front bush SPORT<span style=""color:#ff0000;""><strong>*</strong></span></li> <li><strong>2x 081648A</strong> Rear trailing arm rear bush SPORT</li> <li><strong>4x 081639A</strong> Upper arm bush SPORT</li> </ul> <p style=""color:#ff0000;""><strong>Notes:</strong></p> <p style=""color:#ff0000;""><span><strong>*</strong>To install the polyurethane bushing 081647 you must burn the old rubber bush. </span><br /><span>Do not remove the outer metal sleeve, it must be reused for this bushing!</span></p> <p style=""color:#ff0000;""><strong>*</strong>Bush 081753A does not fit models with 4WS system (4 wheel steering).<br />Select the appropriate selection when adding to the cart.</p> <p>Pcs / Kit: 16</p> <p>Diagrams:<br />D0823</p> <p>Hardness: 90ShA</p> <p>Material: POLIURETAN (PUR/PU)</p> <p>To every product we add grease!</p> <div id=""gtx-trans""> <div class=""gtx-trans-icon""></div> </div>"
"086222B_25,4mm","086222B: Front suspension bush kit",5902553534610,https://www.strongflex.eu/img/p/1/7/0/4/4/17044.jpg,"Honda > Prelude > V > V 96-01",131.71,131.71,1.37,https://www.strongflex.eu/img/p/1/7/0/4/1/17041.jpg|https://www.strongflex.eu/img/p/1/7/0/4/2/17042.jpg|https://www.strongflex.eu/img/p/1/7/0/4/3/17043.jpg,"Pcs / prod: 1|Required/car: 1|Pcs / KIT: 16","Front ARB diameter: 25,4mm, 27,2mm","<div id=""description""> <p id=""prod_id"">KIT ID: <strong>086222B</strong></p> <p id=""prod_title"">Name: Front suspension bush kit</p> <dl id=""fit""><dt>Fit:</dt><dd>Honda Prelude IV 92-96</dd></dl><dl><dt>Include:</dt><dd><strong>2 x 081740B</strong> Front radius rod bush</dd><dd><strong>2 x 081640B</strong> Front lower inner arm bush</dd><dd><strong>2 x 081641B</strong> Front lower outer arm bush</dd><dd><strong>4 x 081805A</strong> Upper arm bush SPORT</dd><dd><strong>2 x 081713B</strong> Front anti roll bar bush</dd></dl><dl class=""kit_fit""><dt>Diameters:</dt><dd>25,4mm</dd><dd>27,2mm</dd></dl><dl id=""kit""><dd><strong>4 x 081743B</strong> Front anti roll bar link bush</dd></dl> <p id=""l_szt"">Pcs/prod: 16</p> <p id=""l_szt_auto"">Required/car: 1</p> <dl><dt id=""schematy"">Diagrams:</dt><dd>D0820</dd><dd>S0802</dd><dd>S0803</dd></dl> <p id=""uwaga""><strong><span style=""color:#ff0000;""><br />NOTE!</span></strong></p> <p id=""uwaga_desc""><strong><span style=""color:#ff0000;"">Not work with Prelude SH V 96-01</span></strong></p> <p><strong><span style=""color:#ff0000;"">Measure Anti Roll Bush diameter before placing order. <br />If You have different diameter anti roll bar, please contact.</span></strong></p> <p id=""twardosc"">Hardness: 80ShA</p> <p id=""material"">Material: POLYURETHANE (PUR/PU)</p> <p id=""smar"">To every product we add grease!</p> </div>"
"086222B_27,2mm","086222B: Front suspension bush kit",5902553534610,https://www.strongflex.eu/img/p/1/7/0/4/4/17044.jpg,"Honda > Prelude > V > V 96-01",131.71,131.71,1.37,https://www.strongflex.eu/img/p/1/7/0/4/1/17041.jpg|https://www.strongflex.eu/img/p/1/7/0/4/2/17042.jpg|https://www.strongflex.eu/img/p/1/7/0/4/3/17043.jpg,"Pcs / prod: 1|Required/car: 1|Pcs / KIT: 16","Front ARB diameter: 25,4mm, 27,2mm","<div id=""description""> <p id=""prod_id"">KIT ID: <strong>086222B</strong></p> <p id=""prod_title"">Name: Front suspension bush kit</p> <dl id=""fit""><dt>Fit:</dt><dd>Honda Prelude IV 92-96</dd></dl><dl><dt>Include:</dt><dd><strong>2 x 081740B</strong> Front radius rod bush</dd><dd><strong>2 x 081640B</strong> Front lower inner arm bush</dd><dd><strong>2 x 081641B</strong> Front lower outer arm bush</dd><dd><strong>4 x 081805A</strong> Upper arm bush SPORT</dd><dd><strong>2 x 081713B</strong> Front anti roll bar bush</dd></dl><dl class=""kit_fit""><dt>Diameters:</dt><dd>25,4mm</dd><dd>27,2mm</dd></dl><dl id=""kit""><dd><strong>4 x 081743B</strong> Front anti roll bar link bush</dd></dl> <p id=""l_szt"">Pcs/prod: 16</p> <p id=""l_szt_auto"">Required/car: 1</p> <dl><dt id=""schematy"">Diagrams:</dt><dd>D0820</dd><dd>S0802</dd><dd>S0803</dd></dl> <p id=""uwaga""><strong><span style=""color:#ff0000;""><br />NOTE!</span></strong></p> <p id=""uwaga_desc""><strong><span style=""color:#ff0000;"">Not work with Prelude SH V 96-01</span></strong></p> <p><strong><span style=""color:#ff0000;"">Measure Anti Roll Bush diameter before placing order. <br />If You have different diameter anti roll bar, please contact.</span></strong></p> <p id=""twardosc"">Hardness: 80ShA</p> <p id=""material"">Material: POLYURETHANE (PUR/PU)</p> <p id=""smar"">To every product we add grease!</p> </div>"
"086222A_25,4mm","086222A: Front suspension bush kit SPORT",5902553534603,https://www.strongflex.eu/img/p/1/7/0/3/9/17039.jpg,"Honda > Prelude > V > V 96-01",143.9,143.9,1.37,https://www.strongflex.eu/img/p/1/7/0/3/6/17036.jpg|https://www.strongflex.eu/img/p/1/7/0/3/7/17037.jpg|https://www.strongflex.eu/img/p/1/7/0/3/8/17038.jpg,"Pcs / prod: 1|Required/car: 1|Pcs / KIT: 16","Front ARB diameter: 25,4mm, 27,2mm","<div id=""description""> <p id=""prod_id"">KIT ID: <strong>086222A</strong></p> <p id=""prod_title"">Name: Front suspension bush kit SPORT</p> <dl id=""fit""><dt>Fit:</dt><dd>Honda Prelude V 96-01</dd></dl><dl><dt>Include:</dt><dd><strong>2 x 081740A</strong> Front radius rod bush SPORT</dd><dd><strong>2 x 081640A</strong> Front lower inner arm bush SPORT</dd><dd><strong>2 x 081641A</strong> Front lower outer arm bush SPORT</dd><dd><strong>4 x 081805A</strong> Upper arm bush SPORT</dd><dd><strong>2 x 081713A</strong> Front anti roll bar bush SPORT</dd></dl><dl class=""kit_fit""><dt>Diameters:</dt><dd>25,4mm</dd><dd>27,2mm</dd></dl><dl id=""kit""><dd><strong>4 x 081743A</strong> Front anti roll bar link bush SPORT</dd></dl> <p id=""l_szt"">Pcs/prod: 16</p> <p id=""l_szt_auto"">Required/car: 1</p> <dl><dt id=""schematy"">Diagrams:</dt><dd>D0820<br />S0802<br />S0803 </dd></dl> <p id=""uwaga""><strong><span style=""color:#ff0000;""><br />NOTE!</span></strong></p> <p id=""uwaga_desc""><strong><span style=""color:#ff0000;"">Not work with Prelude SH V 96-01</span></strong></p> <p><strong><span style=""color:#ff0000;"">Measure Anti Roll Bush diameter before placing order. <br />If You have different diameter anti roll bar, please contact.</span></strong></p> <p id=""twardosc"">Hardness: 90ShA</p> <p id=""material"">Material: POLYURETHANE (PUR/PU)</p> <p id=""smar"">To every product we add grease!</p> </div>"
"086222A_27,2mm","086222A: Front suspension bush kit SPORT",5902553534603,https://www.strongflex.eu/img/p/1/7/0/3/9/17039.jpg,"Honda > Prelude > V > V 96-01",143.9,143.9,1.37,https://www.strongflex.eu/img/p/1/7/0/3/6/17036.jpg|https://www.strongflex.eu/img/p/1/7/0/3/7/17037.jpg|https://www.strongflex.eu/img/p/1/7/0/3/8/17038.jpg,"Pcs / prod: 1|Required/car: 1|Pcs / KIT: 16","Front ARB diameter: 25,4mm, 27,2mm","<div id=""description""> <p id=""prod_id"">KIT ID: <strong>086222A</strong></p> <p id=""prod_title"">Name: Front suspension bush kit SPORT</p> <dl id=""fit""><dt>Fit:</dt><dd>Honda Prelude V 96-01</dd></dl><dl><dt>Include:</dt><dd><strong>2 x 081740A</strong> Front radius rod bush SPORT</dd><dd><strong>2 x 081640A</strong> Front lower inner arm bush SPORT</dd><dd><strong>2 x 081641A</strong> Front lower outer arm bush SPORT</dd><dd><strong>4 x 081805A</strong> Upper arm bush SPORT</dd><dd><strong>2 x 081713A</strong> Front anti roll bar bush SPORT</dd></dl><dl class=""kit_fit""><dt>Diameters:</dt><dd>25,4mm</dd><dd>27,2mm</dd></dl><dl id=""kit""><dd><strong>4 x 081743A</strong> Front anti roll bar link bush SPORT</dd></dl> <p id=""l_szt"">Pcs/prod: 16</p> <p id=""l_szt_auto"">Required/car: 1</p> <dl><dt id=""schematy"">Diagrams:</dt><dd>D0820<br />S0802<br />S0803 </dd></dl> <p id=""uwaga""><strong><span style=""color:#ff0000;""><br />NOTE!</span></strong></p> <p id=""uwaga_desc""><strong><span style=""color:#ff0000;"">Not work with Prelude SH V 96-01</span></strong></p> <p><strong><span style=""color:#ff0000;"">Measure Anti Roll Bush diameter before placing order. <br />If You have different diameter anti roll bar, please contact.</span></strong></p> <p id=""twardosc"">Hardness: 90ShA</p> <p id=""material"">Material: POLYURETHANE (PUR/PU)</p> <p id=""smar"">To every product we add grease!</p> </div>"
